chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
"Beryllium, urine (ng/mL)",7440-41-7,Race/eth: Non-hispanic black,,,,,,544,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Race/eth: Non-hispanic white,,,,,,1225,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Race/eth: Other,,,,,,180,2009-2010,1
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Gender: female,0.268446692120611,0.36,0.72,2.31,4.97,880,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Gender: male,0.285992307501597,0.37,0.69,1.77,3.96,797,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Income: Missing,0.280102424945958,0.37,0.68,2.01,4.44,613,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Income: PIR above 2,0.270479998811001,0.34,0.7,2.2,4.59,917,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Income: PIR below 2,0.311340548732866,0.43,1.04,1.95,2.7,147,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Race/eth: Hispanic,0.424140257811046,0.35,0.67,1.78,4.18,434,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Race/eth: Non-hispanic black,0.254872972580482,0.49,0.94,2.25,4.52,539,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Race/eth: Non-hispanic white,0.249380346485241,0.35,0.65,2.01,4.05,646,1988-1994,0
Urinary cadmium replicate 2 (ng/mL),7440-43-9,Race/eth: Other,0.406693691182634,0.42,1.1,4.59,5.43,58,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Gender: female,0.259775526775753,0.33,0.71,1.94,4.12,11697,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Gender: male,0.251657867153304,0.33,0.69,1.83,3.34,10624,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Income: Missing,0.323276709425203,0.4,0.79,2.12,3.94,2045,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Income: PIR above 2,0.244101242372274,0.31,0.66,1.76,3.4,9021,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Income: PIR below 2,0.265536914499144,0.34,0.74,2.07,4.09,11255,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Race/eth: Hispanic,0.217265019381584,0.28,0.57,1.47,2.91,6506,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Race/eth: Non-hispanic black,0.349128110595663,0.44,0.84,2.1,3.85,6669,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Race/eth: Non-hispanic white,0.246040013509339,0.32,0.68,1.86,3.66,8207,1988-1994,0
Urinary cadmium replicate 1 (ng/mL),7440-43-9,Race/eth: Other,0.260157359377619,0.33,0.76,2.22,4.8,939,1988-1994,0
Blood cadmium (ug/L),7440-43-9,Gender: female,0.259266253177327,0.26,0.46,1.46,2.96,3847,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Gender: male,0.199115472877796,0.19,0.33,1.14,2.03,3666,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Income: Missing,0.237390600309653,0.24,0.42,1.21,2.85,918,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Income: PIR above 2,0.23945441482303,0.22,0.49,1.55,3.01,3384,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Income: PIR below 2,0.219969057240493,0.22,0.36,1.04,2.22,3211,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Race/eth: Hispanic,0.274357136845007,0.18,0.31,0.8,1.68,1816,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Race/eth: Non-hispanic black,0.234570574010072,0.24,0.47,1.34,2.83,1708,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Race/eth: Non-hispanic white,0.175370595854437,0.23,0.4,1.34,2.77,2536,2017-2018,0.185811260481832
Blood cadmium (ug/L),7440-43-9,Race/eth: Other,0.250254210891087,0.28,0.51,1.43,2.83,1453,2017-2018,0.185811260481832
Urinary cadmium (ng/mL),7440-43-9,Gender: female,0.135238009859418,0.156,0.316,0.919,1.683,1427,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Gender: male,0.116655650723133,0.125,0.241,0.66,1.485,1381,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Income: Missing,0.149787041613201,0.154,0.312,1.029,2.108,347,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Income: PIR above 2,0.117750787215513,0.129,0.268,0.694,1.431,1188,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Income: PIR below 2,0.132517997452786,0.151,0.292,0.918,1.73,1273,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Race/eth: Hispanic,0.12502922610881,0.109,0.206,0.653,1.261,676,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Race/eth: Non-hispanic black,0.168850938275631,0.177,0.393,1.02,1.802,639,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Race/eth: Non-hispanic white,0.143140103399956,0.138,0.274,0.805,1.485,918,2017-2018,0.213675213675214
Urinary cadmium (ng/mL),7440-43-9,Race/eth: Other,0.0976006487746254,0.144,0.382,0.983,2.312,575,2017-2018,0.213675213675214
Cobalt (ug/L),7440-48-4,Gender: female,0.161016442499299,0.17,0.22,0.47,0.88,1803,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Gender: male,0.184064096312354,0.15,0.18,0.38,1.09,1717,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Income: Missing,0.180589354667804,0.17,0.23,0.48,1.23,464,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Income: PIR above 2,0.171690983578762,0.15,0.19,0.43,0.81,1664,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Income: PIR below 2,0.172427155841982,0.16,0.2,0.44,0.9,1392,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Race/eth: Hispanic,0.173289585864515,0.15,0.18,0.41,0.79,775,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Race/eth: Non-hispanic black,0.168327109347458,0.15,0.19,0.37,0.64,816,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Race/eth: Non-hispanic white,0.161946965494912,0.16,0.2,0.45,1.08,1272,2017-2018,0.00852272727272727
Cobalt (ug/L),7440-48-4,Race/eth: Other,0.175356201285453,0.16,0.2,0.37,0.78,657,2017-2018,0.00852272727272727
"Cobalt, urine (ng/mL)",7440-48-4,Gender: female,0.428050987822656,0.446,0.76,1.613,3.269,1427,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Gender: male,0.418675099539132,0.427,0.679,1.471,5.644,1381,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Income: Missing,0.499028891658401,0.478,0.844,1.765,3.778,347,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Income: PIR above 2,0.387212328431203,0.399,0.646,1.471,4.795,1188,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Income: PIR below 2,0.465228924668428,0.492,0.78,1.634,3.43,1273,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Race/eth: Hispanic,0.411045020598771,0.451,0.742,1.413,3.43,676,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Race/eth: Non-hispanic black,0.470118907946054,0.476,0.718,1.863,2.494,639,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Race/eth: Non-hispanic white,0.417219958939337,0.428,0.702,1.572,5.644,918,2017-2018,0.00106837606837607
"Cobalt, urine (ng/mL)",7440-48-4,Race/eth: Other,0.440426372873554,0.44,0.735,1.641,2.808,575,2017-2018,0.00106837606837607
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Gender: female,,,,33.1,114,1516,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Gender: male,,,,42.8,123,1499,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Income: Missing,,,,61.4,166,311,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Income: PIR above 2,,,,56.1,136,1433,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Income: PIR below 2,,,,26.7,68.8,1271,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Race/eth: Hispanic,,,,21.5,98,970,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Race/eth: Non-hispanic black,,,4.63,63.3,143,656,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Race/eth: Non-hispanic white,,,,37.2,118,912,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),107-13-1,Race/eth: Other,,,,24,83.6,477,2015-2016,0.854063018242123
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Gender: female,1.77844094213706,1.11,2.92,145,390,1516,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Gender: male,3.04961516446451,1.62,6.58,258,593,1499,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Income: Missing,2.5449070672417,1.41,3.73,484,611,311,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Income: PIR above 2,3.18601196331897,1.51,17.3,258,654,1433,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Income: PIR below 2,1.90908264375024,1.27,3.2,158,359,1271,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Hispanic,2.294202153164,1.18,2.36,118,392,970,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Non-hispanic black,5.53473444328169,2.41,34.1,376,757,656,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Non-hispanic white,1.62900896454982,1.3,4.28,182,545,912,2015-2016,0.214262023217247
Acrylonitrile metabolite: N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Other,1.59452307134258,1.19,2.28,131,484,477,2015-2016,0.214262023217247
Blood Chloroethane (ng/mL),75-00-3,Gender: female,,,,,,1425,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Gender: male,,,,,,1357,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Income: Missing,,,,,,361,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Income: PIR above 2,,,,,,1247,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Income: PIR below 2,,,,,,1174,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Race/eth: Hispanic,,,,,,654,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Race/eth: Non-hispanic black,,,,,,616,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Race/eth: Non-hispanic white,,,,,,961,2017-2018,0.998921639108555
Blood Chloroethane (ng/mL),75-00-3,Race/eth: Other,,,,,,551,2017-2018,0.998921639108555
Blood Methylene Chloride (ng/mL),75-09-2,Gender: female,,,,,,1472,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Gender: male,,,,,,1393,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Income: Missing,,,,,,1197,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Income: PIR above 2,,,,,,378,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Income: PIR below 2,,,,,,1290,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Race/eth: Hispanic,,,,,,682,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Race/eth: Non-hispanic black,,,,,,637,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Race/eth: Non-hispanic white,,,,,,976,2017-2018,0.997905759162304
Blood Methylene Chloride (ng/mL),75-09-2,Race/eth: Other,,,,,,570,2017-2018,0.997905759162304
Ethylene Oxide (pmol/g Hb),75-21-8,Gender: female,21.6706822289437,17.89,27.16,212.56,416.14,1194,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Gender: male,25.8044784209204,19.11,35.84,247.99,425.94,1181,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Income: Missing,27.902151859854,20.6,31.35,212.56,290.3,240,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Income: PIR above 2,29.0777893415364,21.08,49.42,263.55,548.64,1079,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Income: PIR below 2,20.6488217182824,17.28,26.13,222.14,404.84,1056,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Race/eth: Hispanic,22.3613381218096,18.97,26.4,128.56,332.82,750,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Race/eth: Non-hispanic black,34.5756161621824,24.28,65.61,293.27,484.13,493,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Race/eth: Non-hispanic white,21.7127078280689,17.35,27.64,258.36,416.14,756,2015-2016,0.147789473684211
Ethylene Oxide (pmol/g Hb),75-21-8,Race/eth: Other,24.672003513341,21.89,31.9,159.07,624.88,376,2015-2016,0.147789473684211
Blood Bromoform (pg/mL),75-25-2,Gender: female,,,,10,24,1465,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Gender: male,,,,11,27,1392,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Income: Missing,,,,13,27,1192,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Income: PIR above 2,,,,11,27,377,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Income: PIR below 2,,,,10,19,1288,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Race/eth: Hispanic,,,,12,21,677,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Race/eth: Non-hispanic black,,,,8,27,637,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Race/eth: Non-hispanic white,,,,10,27,976,2017-2018,0.920546027301365
Blood Bromoform (pg/mL),75-25-2,Race/eth: Other,,,,10,21,567,2017-2018,0.920546027301365
Blood Bromodichloromethane (pg/mL),75-27-4,Gender: female,,,,11,18,1472,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Gender: male,,,,11,21,1392,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Income: Missing,,,,11,21,1197,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Income: PIR above 2,,,,12,25,377,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Income: PIR below 2,,,,11,18,1290,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Race/eth: Hispanic,,,,11,18,682,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Race/eth: Non-hispanic black,,,,11,20,637,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Race/eth: Non-hispanic white,,,,10,21,976,2017-2018,0.831005586592179
Blood Bromodichloromethane (pg/mL),75-27-4,Race/eth: Other,,,,12,20,569,2017-2018,0.831005586592179
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Gender: female,,,,,,1369,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Gender: male,,,,,,1367,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Income: Missing,,,,,,235,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Income: PIR above 2,,,,,,1205,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Income: PIR below 2,,,,,,1296,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Race/eth: Hispanic,,,,,,597,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Race/eth: Non-hispanic black,,,,,,734,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Race/eth: Non-hispanic white,,,,,,928,2011-2012,1
"Blood 1,1-Dichloroethane (ng/mL)",75-34-3,Race/eth: Other,,,,,,477,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Gender: female,,,,,,1398,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Gender: male,,,,,,1406,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Income: Missing,,,,,,240,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Income: PIR above 2,,,,,,1246,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Income: PIR below 2,,,,,,1318,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Race/eth: Hispanic,,,,,,596,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Race/eth: Non-hispanic black,,,,,,739,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Race/eth: Non-hispanic white,,,,,,969,2011-2012,1
"Blood 1,1-Dichloroethene (ng/mL)",75-35-4,Race/eth: Other,,,,,,500,2011-2012,1
Blood Nitromethane (pg/mL),75-52-5,Gender: female,690.913569540869,663,866,1430,2090,1147,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Gender: male,668.269564102957,641,821,1340,1790,1137,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Income: Missing,710.880552824602,641,905,1580,2100,205,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Income: PIR above 2,680.29033250157,663,833,1330,1770,989,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Income: PIR below 2,673.755166501429,639,848,1450,2280,1090,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Race/eth: Hispanic,655.453758711692,694,851,1330,1740,483,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Race/eth: Non-hispanic black,750.707735337015,716,933,1730,2500,629,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Race/eth: Non-hispanic white,778.239685177886,635,799,1320,1780,806,2011-2012,0
Blood Nitromethane (pg/mL),75-52-5,Race/eth: Other,691.730363252013,768,980,1490,2190,366,2011-2012,0
Urinary Dimethylarsonic acid (ug/L),75-60-5,Gender: female,2.60509323646831,2.66,4.86,11.99,28.84,1432,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Gender: male,2.88448443791901,3.17,5.12,10.25,19.04,1393,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Income: Missing,3.55131403516078,3.57,6.46,17.89,43.94,351,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Income: PIR above 2,2.58186314723895,2.74,4.63,10.25,25.76,1194,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Income: PIR below 2,2.7714354076639,2.94,5.09,10.79,19.74,1280,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Race/eth: Hispanic,2.43487719324866,3.57,5.85,13.09,23.24,676,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Race/eth: Non-hispanic black,3.00904677998776,3.14,5.34,12.65,28.84,644,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Race/eth: Non-hispanic white,3.46939502750395,2.61,4.39,8.92,17.89,926,2017-2018,0.283185840707965
Urinary Dimethylarsonic acid (ug/L),75-60-5,Race/eth: Other,3.28073794256821,3.53,6.84,18.8,59.49,579,2017-2018,0.283185840707965
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Gender: female,,,,,0.77,1285,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Gender: male,,,,,0.77,1287,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Income: Missing,,,,,1.18,180,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Income: PIR above 2,,,,,0.67,1246,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Income: PIR below 2,,,,,0.65,1146,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Race/eth: Hispanic,,,,,0.69,683,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Race/eth: Non-hispanic black,,,,,1.16,555,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Race/eth: Non-hispanic white,,,,,0.77,946,2013-2014,0.979393468118196
"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",76180-96-6,Race/eth: Other,,,,,0.65,388,2013-2014,0.979393468118196
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Gender: female,,,,,,1369,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Gender: male,,,,,,1371,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Income: Missing,,,,,,241,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Income: PIR above 2,,,,,,1206,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Income: PIR below 2,,,,,,1293,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Race/eth: Hispanic,,,,,,589,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Race/eth: Non-hispanic black,,,,,,718,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Race/eth: Non-hispanic white,,,,,,937,2011-2012,1
"Blood 1,2-Dichloropropane (ng/mL)",78-87-5,Race/eth: Other,,,,,,496,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Gender: female,,,,,,1391,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Gender: male,,,,,,1392,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Income: Missing,,,,,,237,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Income: PIR above 2,,,,,,1235,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Income: PIR below 2,,,,,,1311,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Race/eth: Hispanic,,,,,,588,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Race/eth: Non-hispanic black,,,,,,738,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Race/eth: Non-hispanic white,,,,,,971,2011-2012,1
"Blood 1,1,2-Trichloroethane (ng/mL)",79-00-5,Race/eth: Other,,,,,,486,2011-2012,1
Blood Trichloroethene (ng/mL),79-01-6,Gender: female,,,,,,1473,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Gender: male,,,,,,1393,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Income: Missing,,,,,,1197,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Income: PIR above 2,,,,,,378,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Income: PIR below 2,,,,,,1291,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Race/eth: Hispanic,,,,,,682,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Race/eth: Non-hispanic black,,,,,,637,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Race/eth: Non-hispanic white,,,,,,977,2017-2018,0.993719469644103
Blood Trichloroethene (ng/mL),79-01-6,Race/eth: Other,,,,,0.012,570,2017-2018,0.993719469644103
Acrylamide (pmoL/g Hb),79-06-1,Gender: female,44.9396577451256,40.6,56,123,241,1226,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Gender: male,50.8785223073896,44.5,65.6,185,368,1187,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Income: Missing,48.9118846037244,40.7,64.4,154,257,239,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Income: PIR above 2,50.402135942217,43.1,65.8,186,344,1115,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Income: PIR below 2,46.1568644910038,42,56.3,129,276,1059,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Race/eth: Hispanic,47.9993563547739,41.3,53.5,125,284,800,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Race/eth: Non-hispanic black,53.9611753804726,47.9,74.8,246,371,478,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Race/eth: Non-hispanic white,45.2203878239858,41.9,60.3,144,261,757,2015-2016,0
Acrylamide (pmoL/g Hb),79-06-1,Race/eth: Other,44.0889931241679,42,61.1,108,260,378,2015-2016,0
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Gender: female,,,,,,1335,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Gender: male,,,,,,1346,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Income: Missing,,,,,,232,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Income: PIR above 2,,,,,,1203,2011-2012,0.998881014546811
"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",79-34-5,Income: PIR below 2,,,,,,1246,2011-2012,0.998881014546811
